STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
1,AL,0,1,768120,466830,90960,198750,696930,37470,399160,559820,1180240,439980,24700,16610,8100,5300,193550,146430,10119915,768120,10261015,611200,8093820,90050,58326,38280,64851,34310,42808,7120,3777,139800,722620,31400,41473,113700,1189581,7000,15830,43516,38750,77300,6930,15664,131500,141100,990,241,0,0,6190,23263,1090,3502,15210,13308,757310,10764175,757310,10566472,106960,197747,9240,191667,164035,6690,96737,2010,2905,4000,3837,3640,4983,2960,821,7060,13887,8500,17163,3230,22987,0,0,80,20,80,178,5740,21717,130,3878,18950,12328,300940,1549172,302810,160711,0,0,13280,5130,138350,48039,1480,60,7130,2561,25030,11849,35440,6290,72640,25206,470,442,109110,151679,49840,445567,52070,457574,8020,4656,705730,1956009,335090,1029252,309520,925357,206770,327356,46740,42649,19410,12495,192210,112117,298790,272245,0,0,0,0,59030,50007,669420,1732176,666750,1725286,2730,4220
1,AL,0,2,503430,225110,130060,134320,457510,23180,266880,371440,977450,348420,12230,8350,3880,350,124380,112920,18156451,503430,18322144,432240,14986384,91220,69033,37860,90397,34020,62140,35400,20927,68680,265689,30540,82058,110070,2117606,8690,12010,32992,92360,636314,10010,83850,91880,165693,11300,2751,90,1191,6320,30840,5980,20613,41070,41880,481320,8110725,481320,7967317,74380,144817,22700,489546,884834,15530,194895,14390,27454,7460,10161,13050,15803,12800,4937,18700,49692,22160,62294,11920,78556,0,0,40,39,190,798,19140,114790,1040,11427,40560,60939,498580,9420159,495880,1030009,0,0,17000,14634,252860,306377,6300,367,30100,18147,41720,44021,89680,18397,183090,219327,5260,7424,39300,92618,28510,243637,29770,258173,16630,11567,490520,1960001,143650,316107,129100,280354,128110,252063,28980,25862,6210,6244,351410,725087,376800,834109,0,0,0,0,77300,111047,424280,1230668,420960,1220934,4110,9399
1,AL,0,3,274590,95560,131770,41020,248630,13210,157800,179490,587740,182370,3110,1590,1520,0,45970,80580,16867358,274590,17015570,233850,12992584,84410,71942,38560,126299,34850,88256,49180,34350,43620,275245,32070,131901,82600,2245803,8180,4940,16035,66490,1034877,11000,119054,68510,148212,9060,2306,70,1070,4790,31591,5090,22261,30360,33978,248770,4768913,248770,4671399,50090,97531,27230,636984,1761773,12820,167194,20220,56235,6000,10144,21200,27053,17950,6762,24010,89496,27110,104561,19340,135427,50,213,410,190,200,349,23820,177435,1700,18758,33270,85730,273950,11355943,273410,1374432,0,0,4770,12669,127700,284052,9550,841,17330,9633,21970,26987,21450,3436,102150,231971,3210,7166,27890,73743,4730,43137,7240,64380,4060,4340,270000,1599388,530,209,190,77,25960,43983,15140,13663,170,228,245890,1091252,253380,1178827,0,0,0,0,68920,148870,205830,562490,201770,550675,5790,15182
1,AL,0,4,174830,35560,123370,12700,159190,6830,102340,110320,429360,131170,990,510,480,0,21650,56280,15167919,174830,15290801,149100,11296908,71280,70086,33940,135204,31030,96344,44170,36452,29770,253146,28280,167654,62150,2161441,5170,2900,10047,46960,980163,8480,142045,48120,122882,7140,1938,110,1661,2450,19275,2470,12835,20230,23521,153350,3346618,153340,3274574,35450,72480,20000,514268,1808740,6910,97603,15700,60309,2900,5950,16380,24974,12910,4818,17570,84485,19810,97041,14880,117948,110,789,60,44,100,296,17960,160016,440,6962,25270,81720,174660,11151360,174370,1412000,0,0,1200,6414,83340,234812,7860,843,14600,8500,15900,19885,0,0,71880,196884,940,2941,20370,59861,250,2151,1610,14360,910,1566,172760,1521941,0,0,0,0,2080,3373,10900,9731,0,0,170050,1176057,171510,1250551,0,0,0,0,47730,136776,126560,403410,122610,388967,3730,13784
1,AL,0,5,245150,25990,207950,6480,224280,10500,145010,123560,665630,213100,770,730,40,0,14670,80560,33353413,245150,33654113,214430,24346118,135520,185862,76710,454917,71470,344554,105380,116905,48760,728019,66780,729824,97010,4569064,9140,1860,6749,60400,1504281,25810,788165,80060,300700,12480,3362,1190,18632,7340,69651,5000,28559,26750,30840,190970,4443681,190940,4349490,43530,91961,54670,1705974,8234057,8870,138364,48560,292798,4560,11596,49960,99863,40160,16048,51110,364853,54720,391501,45390,450001,370,2044,2380,1119,1430,5404,51040,610385,2130,38369,51670,294574,245050,26861846,244860,4043973,60,482,300,2192,134730,386690,23780,5601,23670,13839,23540,30246,0,0,112700,315868,130,355,33970,140181,0,0,380,3194,230,531,242910,3980479,0,0,0,0,20,46,18710,17235,0,0,243830,3655165,244190,3827935,550,161,50,58,98980,446992,145780,598498,137120,521691,9850,65917
1,AL,0,6,70170,4300,62340,520,64700,2290,51310,17120,199070,66360,30,30,0,0,430,25530,31813002,70170,32218098,60410,15164531,55370,416842,41800,1160420,39900,925635,38020,156222,18190,1078352,40180,3666495,27070,2008854,1420,50,150,14940,432542,26330,5916818,25690,405096,900,228,2980,90899,8490,112727,610,5802,0,0,28190,670581,28180,651635,7370,15879,39500,2490925,21414100,780,23272,37560,714402,950,3120,37580,164434,28810,16004,38350,366712,39520,396746,31180,457721,280,2914,2270,822,4620,65083,37780,1296364,1940,48340,30490,944315,70140,27432698,70080,6398795,570,9904,0,0,42540,201040,18590,59750,4230,2366,0,0,0,0,23840,67236,0,0,17330,152422,0,0,0,0,0,0,69250,6519658,0,0,0,0,0,0,0,0,0,0,70000,6173104,70100,6574411,27380,47864,36310,140412,36580,841080,30930,797390,20970,293454,10310,451281
2,AK,0,1,102970,80900,8090,11650,87630,7920,34600,60560,117010,31940,8540,4980,3570,1700,15800,15370,1203507,102970,1217577,76920,890758,11620,5792,15020,23553,11780,15397,0,0,12650,65645,5640,7476,9120,86040,150,6380,16864,2880,5947,1020,1267,13840,14070,130,29,0,0,470,1346,140,442,2720,2308,101710,1192047,101710,1173262,10390,18262,1050,23107,15265,580,9012,90,91,140,85,550,2345,90,25,600,2129,760,2871,380,3593,0,0,0,0,0,0,370,899,20,324,4030,2832,58330,258661,61300,26207,0,0,50,13,16900,4958,630,24,270,87,3180,1579,4500,716,8010,2276,0,0,10370,12738,2070,22358,2230,23251,1750,972,84280,162449,28080,58459,24670,53397,13640,19111,3350,2771,1010,824,49040,21241,57160,35858,0,0,0,0,19150,8676,75790,135128,75270,133499,500,860
2,AK,0,2,78020,46330,15760,13230,70440,3730,27730,59080,136790,44000,3040,1200,1840,380,17500,12540,2853727,78020,2883175,69270,2326167,11550,8330,11960,25385,9440,16283,130,123,10030,105958,5730,15501,11320,213958,190,5160,17478,8070,54857,1760,8779,16350,29448,410,94,90,883,1030,3380,1190,4078,7210,7020,75590,1167816,75580,1154067,7520,13538,2370,53013,90624,1120,19173,280,99,620,487,1840,7750,180,79,1700,6831,2140,8440,1680,16052,20,185,50,7,0,0,1610,6717,40,580,7630,14931,77560,1606418,77170,176092,0,0,2090,1309,32740,40157,1510,79,2510,1409,5500,5147,10970,2221,21840,31075,70,112,7710,19989,3950,38174,4010,38361,4090,2708,76040,322784,16870,37115,15100,32803,16560,35355,3120,2507,1300,1245,59170,135687,62880,159819,0,0,0,0,11390,19116,66220,181345,65630,179141,650,1509
2,AK,0,3,51120,24160,18900,6590,45640,2500,20680,35250,103510,33660,1380,470,910,0,8530,12090,3153930,51120,3184731,44250,2443320,13060,11377,10880,28675,9080,19151,440,373,7850,86187,6710,27088,12020,352198,160,3130,12025,8030,110532,1890,21197,13990,30801,1530,372,80,1056,870,4087,1170,5144,6360,6761,47450,827264,47440,813560,7230,13263,3770,86947,242215,1160,20850,900,488,900,764,3150,14187,840,403,3000,13126,3470,15114,2920,28939,30,148,250,81,50,115,2260,12037,50,730,6670,18873,51020,2212441,50940,276522,0,0,1200,2268,21530,50547,2120,213,2020,1227,3350,3278,3070,520,16720,44179,50,104,5940,18129,1740,20542,1990,22701,1690,1683,50280,343090,350,143,260,107,5300,11224,1820,1522,220,240,45320,225861,46840,247740,0,0,0,0,11160,25638,39800,120231,39090,116943,1070,3268
2,AK,0,4,35550,11890,19890,3000,31670,1760,15990,22870,81830,26380,540,180,360,0,4500,10270,3085600,35550,3112057,30500,2274393,12190,12588,9310,30181,7930,20004,190,170,6660,83410,6400,36184,10980,421763,110,2020,7831,6890,121601,1890,26988,9590,26457,1000,253,90,1198,600,3495,510,2735,3160,3400,31710,627927,31710,615606,6290,12107,3670,88132,328599,780,14519,720,474,880,861,3380,15475,420,179,3160,15258,3520,16971,3070,32625,30,129,60,28,20,127,2470,14813,60,541,5850,20616,35500,2334158,35470,315064,0,0,480,1903,15610,45978,2130,215,1690,1118,2230,2278,0,0,12900,41234,60,144,4730,16148,510,6929,810,10355,820,1179,35080,351056,0,0,0,0,1080,2300,1310,1089,0,0,34190,268311,34580,288465,0,0,0,0,9170,28491,26050,89908,25330,86641,710,2395
